,Дата транзакции,Сумма в RUB,Месяц,БЕ
0,2021-04-01,0.0,4,1
1,2021-04-02,-5881.169872951412,4,1
2,2021-04-03,-31320.99167939012,4,1
3,2021-04-04,-63277.823594764726,4,1
4,2021-04-05,-78891.23475774383,4,1
5,2021-04-06,-78891.23475774383,4,1
6,2021-04-07,-14194414.174558103,4,1
7,2021-04-08,-14364728.159166144,4,1
8,2021-04-09,-14491865.85791178,4,1
9,2021-04-10,-14603271.050977312,4,1
10,2021-04-11,-14603271.050977312,4,1
11,2021-04-12,-14603271.050977312,4,1
12,2021-04-13,-14615109.587555608,4,1
13,2021-04-14,-33617719.99560262,4,1
14,2021-04-15,-33617719.99560262,4,1
15,2021-04-16,-33617719.99560262,4,1
16,2021-04-17,-33617719.99560262,4,1
17,2021-04-18,-33617719.99560262,4,1
18,2021-04-19,-33637738.6943521,4,1
19,2021-04-20,-33673788.543558374,4,1
20,2021-04-21,-50146999.42105531,4,1
21,2021-04-22,-50246094.852436796,4,1
22,2021-04-23,-50246094.852436796,4,1
23,2021-04-24,-50250152.25622465,4,1
24,2021-04-25,-50286835.84866772,4,1
25,2021-04-26,-50288401.134115495,4,1
26,2021-04-27,-50288401.134115495,4,1
27,2021-04-28,-59905706.276372105,4,1
28,2021-04-29,-59905706.276372105,4,1
29,2021-04-30,-59918355.96800725,4,1
30,2021-05-01,0.0,5,1
31,2021-05-02,-25351.441693141256,5,1
32,2021-05-03,-25351.441693141256,5,1
33,2021-05-04,-327454.6426334139,5,1
34,2021-05-05,-9716848.10753605,5,1
35,2021-05-06,-9716848.10753605,5,1
36,2021-05-07,-9734281.927611113,5,1
37,2021-05-08,-9748168.073448388,5,1
38,2021-05-09,-9748168.073448388,5,1
39,2021-05-10,-10473982.609864278,5,1
40,2021-05-11,-10505387.813917683,5,1
41,2021-05-12,-26953085.423695996,5,1
42,2021-05-13,-27063759.518422063,5,1
43,2021-05-14,-27557689.36480878,5,1
44,2021-05-15,-27862036.868336882,5,1
45,2021-05-16,-27987426.936088074,5,1
46,2021-05-17,-27987426.936088074,5,1
47,2021-05-18,-28004885.443395592,5,1
48,2021-05-19,-47474689.44916547,5,1
49,2021-05-20,-47474689.44916547,5,1
50,2021-05-21,-47474689.44916547,5,1
51,2021-05-22,-47484053.03469203,5,1
52,2021-05-23,-47487698.87676439,5,1
53,2021-05-24,-47488951.15023809,5,1
54,2021-05-25,-47488951.15023809,5,1
55,2021-05-26,-59171881.920266554,5,1
56,2021-05-27,-59221816.35515003,5,1
57,2021-05-28,-59244181.577289365,5,1
58,2021-05-29,-59244181.577289365,5,1
59,2021-05-30,-59244181.577289365,5,1
60,2021-05-31,-59251636.14393092,5,1
61,2021-06-01,-11426.636345133329,6,1
62,2021-06-02,-3102195.193563725,6,1
63,2021-06-03,-3127491.683656066,6,1
64,2021-06-04,-3188775.321072726,6,1
65,2021-06-05,-3190741.146950044,6,1
66,2021-06-06,-3197198.513457976,6,1
67,2021-06-07,-3197198.513457976,6,1
68,2021-06-08,-3198092.9721776997,6,1
69,2021-06-09,-16434061.820587642,6,1
70,2021-06-10,-16867204.590044394,6,1
71,2021-06-11,-16867204.590044394,6,1
72,2021-06-12,-16867204.590044394,6,1
73,2021-06-13,-16867204.590044394,6,1
74,2021-06-14,-17557441.579723842,6,1
75,2021-06-15,-17557441.579723842,6,1
76,2021-06-16,-33876914.88102106,6,1
77,2021-06-17,-33916303.56493792,6,1
78,2021-06-18,-33935092.59694588,6,1
79,2021-06-19,-33935092.59694588,6,1
80,2021-06-20,-33935092.59694588,6,1
81,2021-06-21,-33968333.88297063,6,1
82,2021-06-22,-33986086.20250078,6,1
83,2021-06-23,-45726177.82648549,6,1
84,2021-06-24,-45785037.86191138,6,1
85,2021-06-25,-46188704.26684083,6,1
86,2021-06-26,-46201504.395482644,6,1
87,2021-06-27,-46218717.328767166,6,1
88,2021-06-28,-46227677.90846297,6,1
89,2021-06-29,-46227677.90846297,6,1
90,2021-06-30,-55197295.4115004,6,1
