,Дата транзакции,Сумма в RUB,Месяц,БЕ
0,2021-01-01,-228103.89980953332,1,5
1,2021-01-02,-29344.75341032023,1,5
2,2021-01-03,-171963.17746511384,1,5
3,2021-01-04,-245048.47022831035,1,5
4,2021-01-05,0.0,1,5
5,2021-01-06,-1570248.6034272118,1,5
6,2021-01-07,-4212890.788344007,1,5
7,2021-01-08,-774155.2343728581,1,5
8,2021-01-09,-312474.080204692,1,5
9,2021-01-10,-624721.9929381007,1,5
10,2021-01-11,-224554.46411223683,1,5
11,2021-01-12,0.0,1,5
12,2021-01-13,-6167366.124453333,1,5
13,2021-01-14,-31348564.771557324,1,5
14,2021-01-15,0.0,1,5
15,2021-01-16,0.0,1,5
16,2021-01-17,0.0,1,5
17,2021-01-18,-11713.966479571664,1,5
18,2021-01-19,0.0,1,5
19,2021-01-20,-8262625.3210347835,1,5
20,2021-01-21,-28648547.6125876,1,5
21,2021-01-22,0.0,1,5
22,2021-01-23,0.0,1,5
23,2021-01-24,0.0,1,5
24,2021-01-25,-58210.90924600341,1,5
25,2021-01-26,-448579.59319389286,1,5
26,2021-01-27,-1020817.5096325297,1,5
27,2021-01-28,-35429418.53329614,1,5
28,2021-01-29,0.0,1,5
29,2021-01-30,-45744.43995704301,1,5
30,2021-01-31,-19982.35234772278,1,5
31,2021-02-01,0.0,2,5
32,2021-02-02,0.0,2,5
33,2021-02-03,-1346723.3416413104,2,5
34,2021-02-04,-3983148.499572701,2,5
35,2021-02-05,-225325.51081030487,2,5
36,2021-02-06,0.0,2,5
37,2021-02-07,-65181.84993299864,2,5
38,2021-02-08,-294603.75247988396,2,5
39,2021-02-09,-566297.6541994483,2,5
40,2021-02-10,-8296871.3581962865,2,5
41,2021-02-11,-15479370.473390983,2,5
42,2021-02-12,-1479616.8737168387,2,5
43,2021-02-13,0.0,2,5
44,2021-02-14,-50488.7923490811,2,5
45,2021-02-15,-134943.7439268349,2,5
46,2021-02-16,-19398.773367832826,2,5
47,2021-02-17,-8451847.881479677,2,5
48,2021-02-18,-39349574.92581366,2,5
49,2021-02-19,-3072187.9072212405,2,5
50,2021-02-20,0.0,2,5
51,2021-02-21,-26320.350182407026,2,5
52,2021-02-22,0.0,2,5
53,2021-02-23,-846693.7145887193,2,5
54,2021-02-24,-2518591.2599398815,2,5
55,2021-02-25,-38568063.82891299,2,5
56,2021-02-26,-639598.8999968102,2,5
57,2021-02-27,-181822.00151524445,2,5
58,2021-02-28,-63762.518291357046,2,5
59,2021-03-01,0.0,3,5
60,2021-03-02,-141516.76630046792,3,5
61,2021-03-03,-2220929.78958703,3,5
62,2021-03-04,-10590808.876426868,3,5
63,2021-03-05,-410366.4513353515,3,5
64,2021-03-06,0.0,3,5
65,2021-03-07,0.0,3,5
66,2021-03-08,0.0,3,5
67,2021-03-09,-24946.81035671524,3,5
68,2021-03-10,-5273131.634561556,3,5
69,2021-03-11,-27028970.184595674,3,5
70,2021-03-12,-2284673.2578013535,3,5
71,2021-03-13,0.0,3,5
72,2021-03-14,0.0,3,5
73,2021-03-15,-598954.0081676701,3,5
74,2021-03-16,0.0,3,5
75,2021-03-17,-2235841.35263124,3,5
76,2021-03-18,-16135109.045216892,3,5
77,2021-03-19,-547388.4294442297,3,5
78,2021-03-20,0.0,3,5
79,2021-03-21,-31863.905101129127,3,5
