,Дата транзакции,Сумма в RUB,БЕ
0,2021-01-01,-3.3561571153405896,6
1,2021-01-02,-3.3561571153405896,6
2,2021-01-03,-3.3561571153405896,6
3,2021-01-04,-10.84487489740294,6
4,2021-01-05,-3.192174522384109,6
5,2021-01-06,-915540.5109087127,6
6,2021-01-07,-3.192174522384109,6
7,2021-01-08,-11.851880891970026,6
8,2021-01-09,-3.192174522384109,6
9,2021-01-10,-3.192174522384109,6
10,2021-01-11,-29.407579544162164,6
11,2021-01-12,-3.196747269588604,6
12,2021-01-13,-1231610.0773376578,6
13,2021-01-14,-3.196747269588604,6
14,2021-01-15,-18.8254026219515,6
15,2021-01-16,-3.196747269588604,6
16,2021-01-17,-3.196747269588604,6
17,2021-01-18,-324.09904262152526,6
18,2021-01-19,-3.4251953547643157,6
19,2021-01-20,-13075328.832475945,6
20,2021-01-21,-42541.110927961,6
21,2021-01-22,-3.4251953547643157,6
22,2021-01-23,-3.4251953547643157,6
23,2021-01-24,-3.4251953547643157,6
24,2021-01-25,-98607.71690902127,6
25,2021-01-26,-3.428513754663717,6
26,2021-01-27,-4489498.3800871605,6
27,2021-01-28,-30528.602479058784,6
28,2021-01-29,-3.428513754663717,6
29,2021-01-30,-3.428513754663717,6
30,2021-01-31,-3.428513754663717,6
31,2021-02-01,-250.24618356933146,6
32,2021-02-02,-3.165284857782952,6
33,2021-02-03,-271042.589805216,6
34,2021-02-04,-429594.48995442013,6
35,2021-02-05,-3.165284857782952,6
36,2021-02-06,-3.165284857782952,6
37,2021-02-07,-3.165284857782952,6
38,2021-02-08,-29.921270944314628,6
39,2021-02-09,-3.1706822069309974,6
40,2021-02-10,-1386676.208263617,6
41,2021-02-11,-3.1706822069309974,6
42,2021-02-12,-18.86587571987872,6
43,2021-02-13,-3.1706822069309974,6
44,2021-02-14,-3.1706822069309974,6
45,2021-02-15,-238.89871064373042,6
46,2021-02-16,-3.105201367875844,6
47,2021-02-17,-8342967.550502623,6
48,2021-02-18,-38995.84839587589,6
49,2021-02-19,-3.105201367875844,6
50,2021-02-20,-3.105201367875844,6
51,2021-02-21,-3.105201367875844,6
52,2021-02-22,-102710.94077123872,6
53,2021-02-23,-3.369020548945231,6
54,2021-02-24,-5930175.367209387,6
55,2021-02-25,-33966.26880484249,6
56,2021-02-26,-3.369020548945231,6
57,2021-02-27,-3.369020548945231,6
58,2021-02-28,-3.369020548945231,6
59,2021-03-01,-238.93892599691029,6
60,2021-03-02,-3.1348106802679783,6
61,2021-03-03,-687569.7329814908,6
62,2021-03-04,-33303.9845415604,6
63,2021-03-05,-3.1348106802679783,6
64,2021-03-06,-3.1348106802679783,6
65,2021-03-07,-3.1348106802679783,6
66,2021-03-08,-11.659152950193658,6
67,2021-03-09,-3.1150940685766333,6
68,2021-03-10,-516427.52212866186,6
69,2021-03-11,-3.1150940685766333,6
70,2021-03-12,-3.1150940685766333,6
71,2021-03-13,-3.1150940685766333,6
72,2021-03-14,-3.1150940685766333,6
73,2021-03-15,-28.106284261277096,6
74,2021-03-16,-3.122473587959085,6
75,2021-03-17,-4986499.294726835,6
76,2021-03-18,-3.122473587959085,6
77,2021-03-19,-3.122473587959085,6
78,2021-03-20,-3.122473587959085,6
79,2021-03-21,-3.122473587959085,6
80,2021-03-22,-108022.73670451516,6
81,2021-03-23,-3.3117353624074872,6
82,2021-03-24,-5909709.493596827,6
83,2021-03-25,-44529.433480853906,6
84,2021-03-26,-3.3117353624074872,6
85,2021-03-27,-3.3117353624074872,6
86,2021-03-28,-3.3117353624074872,6
87,2021-03-29,-235.68196718022668,6
88,2021-03-30,-3.292385600317335,6
89,2021-03-31,-3201791.8705636016,6
90,2021-04-01,-39513.004128039975,6
91,2021-04-02,-45.465834544965624,6
92,2021-04-03,-3.292385600317335,6
93,2021-04-04,-3.292385600317335,6
94,2021-04-05,-23.221908832136123,6
95,2021-04-06,-3.098208299878117,6
96,2021-04-07,-1135976.2700629912,6
97,2021-04-08,-3.098208299878117,6
98,2021-04-09,-3.098208299878117,6
99,2021-04-10,-3.098208299878117,6
100,2021-04-11,-3.098208299878117,6
101,2021-04-12,-268.89865468402076,6
102,2021-04-13,-3.103260493388452,6
103,2021-04-14,-1739750.4409075466,6
104,2021-04-15,-430184.4586333206,6
105,2021-04-16,-36.458300624003705,6
106,2021-04-17,-3.103260493388452,6
107,2021-04-18,-3.103260493388452,6
108,2021-04-19,-36585.32473844225,6
109,2021-04-20,-3.2751756221614765,6
110,2021-04-21,-4958462.545666233,6
111,2021-04-22,-42168.79434334684,6
112,2021-04-23,-3.2751756221614765,6
113,2021-04-24,-3.2751756221614765,6
114,2021-04-25,-3.2751756221614765,6
115,2021-04-26,-71056.169102656,6
116,2021-04-27,-3.425348567575938,6
117,2021-04-28,-4169861.688332517,6
118,2021-04-29,-107783.18157883002,6
119,2021-04-30,-3.425348567575938,6
120,2021-05-01,-3.425348567575938,6
121,2021-05-02,-3.425348567575938,6
122,2021-05-03,-34.46371147361666,6
123,2021-05-04,-3.1565786047582347,6
124,2021-05-05,-874579.5205460835,6
125,2021-05-06,-3.1565786047582347,6
126,2021-05-07,-3.1565786047582347,6
127,2021-05-08,-3.1565786047582347,6
128,2021-05-09,-3.1565786047582347,6
129,2021-05-10,-3.164625007710655,6
130,2021-05-11,-3.164625007710655,6
131,2021-05-12,-1122086.2114872863,6
132,2021-05-13,-321.8868446495699,6
133,2021-05-14,-51.7372097088117,6
134,2021-05-15,-3.164625007710655,6
135,2021-05-16,-3.164625007710655,6
136,2021-05-17,-234.10626424563324,6
137,2021-05-18,-3.1823423421605646,6
138,2021-05-19,-3851627.765724327,6
139,2021-05-20,-39868.52542337499,6
140,2021-05-21,-3.182278098309519,6
141,2021-05-22,-3.182278098309519,6
142,2021-05-23,-3.182278098309519,6
143,2021-05-24,-3.4544827959975475,6
144,2021-05-25,-117222.15561220578,6
145,2021-05-26,-5173787.4576988695,6
146,2021-05-27,-3.4483370885678037,6
147,2021-05-28,-3.4483370885678037,6
148,2021-05-29,-3.4483370885678037,6
149,2021-05-30,-3.4483370885678037,6
150,2021-05-31,-3.4484367853481275,6
151,2021-06-01,-3.1611828755617815,6
152,2021-06-02,-582583.8991877319,6
153,2021-06-03,-196.35175755334623,6
154,2021-06-04,-3.1611828755617815,6
155,2021-06-05,-3.1611828755617815,6
156,2021-06-06,-3.1611828755617815,6
157,2021-06-07,-31.171462128668722,6
158,2021-06-08,-3.122520157444713,6
159,2021-06-09,-775911.4425763217,6
160,2021-06-10,-177.75159452348134,6
161,2021-06-11,-3.122520157444713,6
162,2021-06-12,-3.122520157444713,6
163,2021-06-13,-3.122520157444713,6
164,2021-06-14,-42.74302971929601,6
165,2021-06-15,-3.1227561749410984,6
166,2021-06-16,-2836725.6395560117,6
167,2021-06-17,-450.23883254261915,6
168,2021-06-18,-3.1227561749410984,6
169,2021-06-19,-3.1227561749410984,6
170,2021-06-20,-3.1227561749410984,6
171,2021-06-21,-102966.40183782339,6
172,2021-06-22,-3.402634961898223,6
173,2021-06-23,-4650189.636902991,6
174,2021-06-24,-30698.06648390675,6
175,2021-06-25,-3.402634961898223,6
176,2021-06-26,-3.402634961898223,6
177,2021-06-27,-3.402634961898223,6
178,2021-06-28,-274.19582808362196,6
179,2021-06-29,-3.3561571153405896,6
180,2021-06-30,-28813.405753187635,6
